D5PH9LN3
['Sep 15, 2022 @ 23:11:04.288', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:11:04.184', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:11:02.750', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:11:02.743', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:11:02.628', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:11:02.619', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:11:01.492', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:11:01.163', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:10:59.614', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:10:59.509', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:10:57.645', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:10:57.456', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:10:51.461', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:10:51.454', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:10:51.359', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:10:51.352', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:10:50.411', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:10:50.308', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:10:49.259', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:10:49.152', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:10:48.232', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:10:48.046', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
['Sep 15, 2022 @ 23:03:06.714', '128.171.103.65', 'colin', '4625', 'An account failed to log on.', 'DCON3']
